date,username,follower_count
2026-08-19,natgeo,268753774
2026-08-19,nasa,104399390
2026-08-19,nike,291458025
2026-08-19,telkomsel,2496940
2026-08-19,myxl,407022
2026-08-19,indosat,1912024
2026-08-20,telkomsel,2496936
2026-08-20,myxl,407174
2026-08-21,telkomsel,2497010
2026-08-21,myxl,407443
2026-08-22,telkomsel,2497073
2026-08-22,myxl,407574
2026-08-23,telkomsel,2497046
2026-08-23,myxl,407676
2026-08-24,telkomsel,2496965
2026-08-24,myxl,407770
2026-08-25,telkomsel,2497074
2026-08-25,myxl,407897
2026-08-26,telkomsel,2497100
2026-08-26,myxl,408016
2026-08-27,telkomsel,2497135
2026-08-27,myxl,408138
2026-08-28,telkomsel,2497181
2026-08-28,myxl,408238
2026-08-29,telkomsel,2497144
2026-08-29,myxl,408300
2026-08-30,telkomsel,2497051
2026-08-30,myxl,408377
2026-08-31,telkomsel,2496958
2026-08-31,myxl,408483
2026-09-01,telkomsel,2496936
2026-09-01,myxl,408536
2026-09-02,telkomsel,2496890
2026-09-02,myxl,408595
2026-09-03,telkomsel,2496970
2026-09-03,myxl,408651
2026-09-04,telkomsel,2496991
2026-09-04,myxl,408714
